Country,Continent,2017population
Pakistan,Asia,197015955
Palau,Oceania,21729
Panama,North America,4098587
Papua New Guinea,Oceania,8251162
Paraguay,South America,6811297
Peru,South America,32165485
Philippines,Asia,104918090
Pitcairn Islands,Oceania,50
Poland,Europe,38170712
Portugal,Europe,10329506
Puerto Rico,North America,3663131
Qatar,Asia,2639211
Romania,Europe,19679306
Russia,Europe,143989754
Rwanda,Africa,12208407
Saint Barthelemy,North America,"9,625"
"Saint Helena, Ascension, and Tristan da Cunha",Seven seas (open ocean),"5,633"
Saint Kitts and Nevis,North America,55345
Saint Lucia,North America,178844
Saint Martin,North America,"77,741"
Saint Pierre and Miquelon,North America,6320
Saint Vincent and the Grenadines,North America,109897
Samoa,Oceania,196440
San Marino,Europe,33400
Sao Tome and Principe,Africa,204327
Saudi Arabia,Asia,32938213
Senegal,Africa,15850567
Serbia,Europe,8790574
Seychelles,Seven seas (open ocean),94737
Sierra Leone,Africa,7557212
Singapore,Asia,5708844
Sint Maarten,North America,40120
Slovakia,Europe,5447662
Slovenia,Europe,2079976
Solomon Islands,Oceania,611343
Somalia,Africa,14742523
South Africa,Africa,56717156
South Sudan,Africa,12575714
Spain,Europe,46354321
Sri Lanka,Asia,20876917
Sudan,Africa,40533330
Suriname,South America,563402
Swaziland,Africa,1367254
Sweden,Europe,9910701
Switzerland,Europe,8476005
Syria,Asia,18269868
Taiwan,Asia,23626456
Tajikistan,Asia,8921343
Tanzania,Africa,57310019
Thailand,Asia,69037513
Timor-Leste,Asia,1325727
Togo,Africa,7797694
Tonga,Oceania,108020
Trinidad and Tobago,North America,1369125
Tunisia,Africa,11532127
Turkey,Asia,80745020
Turkmenistan,Asia,5758075
Turks and Caicos Islands,North America,35446
Tuvalu,Oceania,11192
Uganda,Africa,42862958
Ukraine,Europe,44222947
United Arab Emirates,Asia,9400145
United Kingdom,Europe,66181585
United States,North America,324459463
Uruguay,South America,3456750
Uzbekistan,Asia,31910641
Vanuatu,Oceania,276244
Venezuela,South America,31977065
Vietnam,Asia,95540800
Virgin Islands,North America,104901
Wallis and Futuna,Oceania,11773
Western Sahara,Africa,552628
Yemen,Asia,28250420
Zambia,Africa,17094130
Zimbabwe,Africa,16529904
