,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution
Ben A Oostra,78,8612,47.0,0.0026418922502474533,0.19091839719216144,,
Peter Vollenweider,79,9725,46.0,0.0015446832294625861,0.18367943843229015,,
Lenore J Launer,87,9233,46.0,0.002206350884508675,0.20415326118748173,,
David Schlessinger,67,12105,46.0,0.0008698083410271505,0.16868967534366774,,
Albert V Smith,87,7439,46.0,0.001852392182089126,0.19961977186311786,,
Tim D Spector,99,8802,46.0,0.0027593015095985214,0.19669494004094765,,
Inga Prokopenko,65,11939,45.0,0.0007287266260486645,0.17556303012576777,,
Massimo Mangino,77,12128,45.0,0.0012816193070497273,0.18024276104124012,,
Serena Sanna,68,12185,45.0,0.0010352219484155497,0.1628400116993273,,
Ines Barroso,54,14573,45.0,0.0011131040772098845,0.16751974261479965,,
David P Strachan,74,10910,45.0,0.002109730723149312,0.18046212342790288,,
Toshiko Tanaka,97,9414,44.0,0.002043405108930354,0.19764551038315298,,
Daniel I Chasman,90,9640,44.0,0.0027277695103924216,0.20941795846738812,U.S.,University of Harvard
Henry Volzke,90,7887,44.0,0.0036768986826345856,0.2143901725650775,,
Philippe Froguel,58,9830,44.0,0.0018617818872156838,0.1646680315881837,,
Alan R Shuldiner,68,10064,44.0,0.0014005435659463028,0.1682509505703422,,
Stefan Schreiber,73,10636,44.0,0.006788853924788893,0.1482889733840304,,
Christopher J O'Donnell,71,9219,43.0,0.0006752135969588244,0.13629716291313249,,
L Adrienne Cupples,79,9290,43.0,0.0017097316783768514,0.16415618601930387,,
Paul Elliott,52,10727,43.0,0.0006152005847287737,0.1428780345130155,,
Lambertus A Kiemeney,64,8197,43.0,0.004519130385358968,0.16393682363264112,,
Dorret I Boomsma,98,9675,43.0,0.0030362609492492537,0.2268938286048552,,
Manuela Uda,49,11001,43.0,0.00035505877170011223,0.11889441357121966,,
Jing Hua Zhao,62,11214,43.0,0.0011480280917273804,0.19793799356536998,,
Hakon Hakonarson,87,7318,42.0,0.014280899299403894,0.14083065223749633,,
Alan F Wright,81,9612,42.0,0.0014915572763168133,0.20217899970751682,,
Michiaki Kubo,151,5922,42.0,0.01800791733164516,0.16605732670371454,,
Caroline S Fox,66,8914,42.0,0.0003959860939097113,0.13878326996197718,,
Paul M Ridker,83,9233,42.0,0.0020868507590547218,0.1995466510675636,U.S.,University of Harvard
Yusuke Nakamura,113,5516,42.0,0.00775108444419845,0.10617139514477918,,
Patrick Sulem,60,6708,42.0,0.0016028306901827612,0.10310032173150044,,
Michael Boehnke,51,14241,41.0,0.00039840839931005334,0.1469727990640538,,
Andres Metspalu,77,8264,41.0,0.004451778228559271,0.21716876279613923,,
Sekar Kathiresan,53,11497,41.0,0.0017103797131995853,0.149605147704007,U.S.,University of Harvard
Karen L Mohlke,58,14378,41.0,0.0008163142262708504,0.15399239543726234,,
Daniel F Gudbjartsson,52,5913,40.0,0.0012200941066970704,0.09396022228721848,,
Mark Lathrop,71,8348,40.0,0.008594263547039077,0.15465048259725064,,
Najaf Amin,80,8225,40.0,0.002291432165350964,0.21131909915179878,,
Joshua C Bis,82,7355,40.0,0.002069079726690486,0.17285756069026031,,
Veronique Vitart,77,8730,40.0,0.001080964773962826,0.17973091547236034,,
Gerard Waeber,58,8841,39.0,0.0010780650279394568,0.14909330213512723,,
Yongmei Liu,86,5464,39.0,0.0021781420186844855,0.20042410061421467,,
Wendy L McArdle,49,8364,39.0,0.0011165007921087851,0.14953202690845277,,
Gonneke Willemsen,73,9116,39.0,0.0013629432106770508,0.19069903480549869,,
Anna-Liisa Hartikainen,43,7924,39.0,0.0005930038236015353,0.14521789997075168,,
Mark J Daly,48,12042,39.0,0.005544388948160997,0.12335478210002924,,
Alexander Teumer,92,6654,38.0,0.0030358480233179702,0.21980111143609243,,
Ozren Polasek,82,7095,38.0,0.001372055514935557,0.2033489324363849,,
Timothy D Spector,56,6610,38.0,0.0013905578889390944,0.15530856975723895,,
Benjamin F Voight,39,13478,38.0,0.00031763550072562034,0.12013746709564199,,
Joel N Hirschhorn,51,8901,38.0,0.0014798059131847724,0.14726528224627083,,
Wei Zheng,75,5004,38.0,0.007933512349385347,0.19925416788534658,,
Terho Lehtimaki,91,7219,38.0,0.002372857037417394,0.2188505410938871,,
Tonu Esko,74,7825,38.0,0.0023055454296893336,0.19596373208540507,,
Yurii S Aulchenko,53,7524,38.0,0.0005044869188533373,0.11011991810470897,,
Atsushi Takahashi,111,4573,38.0,0.010120757204153752,0.1384176659842059,,
Markus Perola,61,9709,38.0,0.001127486338756841,0.16503363556595496,,
Kay-Tee Khaw,56,9339,38.0,0.00537104443006296,0.22038607780052646,,
Stefania Bandinelli,66,6824,38.0,0.0009034533477569943,0.16028078385492833,,
George Davey Smith,76,7744,38.0,0.0015579279239295522,0.16452178999707517,,
Thorunn Rafnar,52,5733,38.0,0.0010790247252596419,0.07670371453641416,,
Jeanette Erdmann,48,8697,37.0,0.0012701472549407058,0.13468850541093888,,
Francis S Collins,41,13688,37.0,0.0001867896643194446,0.1284001169932729,,
Jian'an Luan,55,10286,37.0,0.000673622988402614,0.1732231646680316,,
Timothy M Frayling,60,12033,37.0,0.0007510169055700727,0.14858145656624744,U.K,University of Exeter
Vincent Mooser,44,9327,37.0,0.0005443135448327818,0.11743199766013454,,
Nicole L Glazer,50,7857,37.0,0.000734783984128474,0.1252559227844399,,
Naoyuki Kamatani,72,3573,37.0,0.002002382212592466,0.058496636443404505,,
Jacqueline C M Witteman,54,6819,37.0,0.00033766981857611165,0.11662766890903772,,
Nicholas J Timpson,69,8341,36.0,0.0012437888228434494,0.14061128985083357,,
Frank B Hu,61,8582,36.0,0.0033138982391664614,0.14463293360631763,,
Anne U Jackson,45,12784,36.0,0.0002461827054637236,0.14280491371746123,,
Diana Zelenika,44,8077,35.0,0.006163657916757538,0.13293360631763673,,
Anneli Pouta,41,7657,35.0,0.0005606839914852261,0.1369552500731208,,
Peter P Pramstaller,58,8805,35.0,0.0005488917875317055,0.15494296577946767,,
Douglas F Easton,63,5175,35.0,0.0017691580422102488,0.12467095642000585,,
David M Evans,73,4802,35.0,0.0018074808649119257,0.16240128692600175,,
Jouke-Jan Hottenga,63,7194,35.0,0.0015333642591064886,0.1845568879789412,,
David S Siscovick,55,6946,34.0,0.0008120273720700981,0.14324363849078678,,
Jaakko Tuomilehto,44,13390,34.0,0.000600237906160774,0.14163498098859315,,
John C Chambers,50,5916,34.0,0.0005846832991392708,0.14507165837964317,U.K,Imperial College
Colin N A Palmer,47,10088,34.0,0.0017689456561416814,0.14843521497513892,,
Jaspal S Kooner,52,6883,34.0,0.0005597097798885623,0.15443112021058789,,
Ingrid B Borecki,53,7792,34.0,0.0008438407832903245,0.15501608657502194,,
Thor Aspelund,42,6380,34.0,0.00032784731294984934,0.1175051184556888,,
Michael A Nalls,51,4956,34.0,0.0031386308477862526,0.15625914009944428,,
Sarah H Wild,46,6729,34.0,0.000329197201294481,0.13585843813980697,,
Abbas Dehghan,65,5417,33.0,0.00046994181415086265,0.136443404504241,,
Cisca Wijmenga,48,6910,33.0,0.0032450293994260577,0.13424978063761334,,
Gudny Eiriksdottir,52,5428,33.0,0.0004553487089583248,0.1326411231354197,,
Andrew A Hicks,52,8319,33.0,0.0005356980830739148,0.14821585258847617,,
Toby Johnson,38,9503,33.0,0.0005279557880080744,0.12562152676221117,,
Markus M Nothen,71,6669,33.0,0.011184973659770626,0.18653114945890611,,
Samuli Ripatti,52,8614,33.0,0.0006338745195341421,0.14770400701959638,,
Aarno Palotie,63,3918,33.0,0.003911879968221521,0.16013454226381982,,
Braxton D Mitchell,61,4569,33.0,0.001051266569780447,0.12730330505995904,,
Zhaoming Wang,64,5145,32.0,0.00514763641189953,0.17015209125475284,,
Loic Le Marchand,66,4999,32.0,0.003397713336006994,0.1646680315881837,,
Mika Kahonen,74,5852,32.0,0.0016692376558424494,0.2033489324363849,,
Jianjun Liu,71,5931,32.0,0.012096946192881418,0.17921906990348055,,
Sonja I Berndt,55,6606,32.0,0.0030662708639342144,0.1441942088329921,,
Johan G Eriksson,57,6045,32.0,0.0018617764439192307,0.18411816320561566,,
Heribert Schunkert,40,7582,32.0,0.0008753953203275521,0.12159988300672711,,
Jaakko Kaprio,46,8027,32.0,0.0008818539222824933,0.14806961099736765,,
David Altshuler,33,10735,32.0,0.0013401772268191235,0.11494589061128985,,
Sarah E Medland,60,3185,31.0,0.0019857918916009925,0.13995320269084527,,
Cecilia M Lindgren,45,11209,31.0,0.00051116544886492,0.14083065223749633,,
Christopher A Haiman,59,4877,31.0,0.003826301862576048,0.16971336648142732,,
Valgerdur Steinthorsdottir,32,9083,31.0,0.0005031744552518787,0.11984498391342498,,
Andre Franke,62,5149,31.0,0.005842034294050248,0.12686458028663353,,
Erik Ingelsson,59,8344,31.0,0.0012344536756710642,0.1732231646680316,,
Dale R Nyholt,53,5372,30.0,0.0010956360572195814,0.12693770108218777,,
John R B Perry,47,9275,30.0,0.0005117266912786316,0.1389295115530857,,
Ulf Gyllensten,44,8014,30.0,0.0003394363686462691,0.13432290143316758,,
Josee Dupuis,43,5246,30.0,0.0006284472915808428,0.10193038900263235,,
Lu Qi,45,8580,30.0,0.0018648622607585405,0.12766890903773032,,
Harold Snieder,47,4258,30.0,0.000754308960285415,0.16042702544603685,,
Martin Farrall,36,6198,30.0,0.001364093924408978,0.11772448084235156,,
Weihua Zhang,46,6004,30.0,0.0005124697243504802,0.15362679145949107,,
Talin Haritunians,41,7488,30.0,0.0010002853391826794,0.11326411231354197,,
Lude Franke,49,4207,30.0,0.002697648688641438,0.16188944135712197,,
Kevin B Jacobs,32,7458,30.0,0.0014226596365420256,0.11143609242468558,,
Andrew T Hattersley,32,10293,29.0,0.00020921374088355967,0.11721263527347177,,
Paul I W de Bakker,46,7079,29.0,0.006310268341573922,0.13790582041532612,,
Andrew D Johnson,52,3918,29.0,0.0007833082239278924,0.14229306814858145,,
Annette Peters,57,4980,29.0,0.0014707664543195792,0.1632787364726528,,
Alistair S Hall,29,8853,29.0,0.00018561393163219535,0.1071219654869845,,
Karol Estrada,40,5841,29.0,0.000665846963041107,0.10756069026031002,,
Muredach P Reilly,32,5964,29.0,0.0008954732530782668,0.10156478502486106,,
Lori L Bonnycastle,31,11660,29.0,0.00013368333687283732,0.1188212927756654,,
Anders Hamsten,44,6964,29.0,0.0007285404967624803,0.1540655162328166,,
Richard N Bergman,34,12198,29.0,0.00020363945386527615,0.12298917812225797,,
Christa Meisinger,43,5188,29.0,0.0007167207497862921,0.12964317051769522,,
Johanna Kuusisto,35,9530,29.0,0.0001804030228235862,0.13154431120210588,,
Georg Homuth,59,4586,29.0,0.0020233415081589014,0.18777420298332845,,
Xiao-Ou Shu,51,3043,29.0,0.0035602811995595184,0.13300672711319098,,
Eco J C de Geus,45,4884,29.0,0.0006910397636685637,0.15157940918397192,,
Norman Klopp,39,6029,29.0,0.002049273020529861,0.15136004679730916,,
Thomas Lumley,43,3415,29.0,0.0002265941418343321,0.07626498976308863,,
Markku Laakso,38,9564,29.0,0.00021319235646986476,0.13271424393097397,,
Andrew P Morris,58,7821,29.0,0.0021560246951194966,0.15859900555718046,,
Tatsuhiko Tsunoda,47,2528,29.0,0.0017295835158837904,0.05367066393682363,,
Shih-Jen Hwang,44,3356,29.0,0.00020622802540059559,0.09140099444281953,,
Patricia B Munroe,40,8577,29.0,0.00032288803232423597,0.14112313541971336,,
Aaron Isaacs,41,5140,28.0,0.00048473263720688115,0.1409037730330506,,
Lyle J Palmer,38,5725,28.0,0.00071001465399229,0.13505410938871015,,
John L Hopper,50,4292,28.0,0.0014825448784353441,0.10821877742029833,,
Ivana Kolcic,45,4489,28.0,0.0005035466881246975,0.14755776542848786,,
Andrew D Morris,30,9169,28.0,0.00024762818771189855,0.11662766890903772,,
Pim van der Harst,55,4137,28.0,0.0009423512002973233,0.14997075168177829,,
Aravinda Chakravarti,36,5213,28.0,0.0007793740478727684,0.10353904650482597,,
Guangju Zhai,28,4623,28.0,0.0003295456853339051,0.09505703422053231,,
Christian Hengstenberg,31,7223,28.0,0.0004020871195995591,0.11458028663351857,,
Andrew C Heath,59,5022,28.0,0.0006901900437828169,0.1344691430242761,,
Claudia Langenberg,44,7727,28.0,0.0004779543519367901,0.15355367066393683,,
Kent D Taylor,76,6103,28.0,0.0027126092020067867,0.1338110558642878,,
Anke Tonjes,46,6345,28.0,0.0004906392115102158,0.15187189236618895,,
Susan R Heckbert,52,3138,28.0,0.000639756965609899,0.11216730038022814,,
Simon Heath,30,6159,28.0,0.0020895387987950186,0.09703129570049722,,
Brian E Henderson,44,3835,28.0,0.0012944890507565253,0.10741444866920152,,
Reedik Magi,39,6418,28.0,0.0004039972175200041,0.1585258847616262,,
Jonathan L Haines,39,4288,27.0,0.0036697770173958035,0.07026908452763966,,
Susan M Ring,46,4324,27.0,0.0005489343184528401,0.10887686458028663,,
Olli Raitakari,40,4473,27.0,0.0006909829436626511,0.15267622111728577,,
Hugh Watkins,35,6398,27.0,0.00021444150515670754,0.13205615677098567,,
Olle Melander,37,9077,27.0,0.0011853859027658486,0.1338110558642878,,
Kari E North,60,4650,27.0,0.002177736410454632,0.13885639075753145,,
Ramachandran S Vasan,47,3397,27.0,0.0002734191304017592,0.07655747294530564,,
Harald Grallert,46,7434,27.0,0.0006658076511916456,0.1444866920152091,,
Heather M Stringham,29,11792,27.0,0.0001251663736958996,0.11911377595788242,,
Yun Li,42,5855,27.0,0.003300987400792732,0.10288095934483767,,
M Carola Zillikens,33,6053,27.0,0.0002161404808682887,0.11984498391342498,,
Nancy L Pedersen,35,6145,27.0,0.00040322584915415834,0.14178122257970166,,
Mary F Feitosa,37,6249,27.0,0.0005241990184105997,0.14660719508628253,,
Michael Stumvoll,43,6243,27.0,0.0004524965681347955,0.14858145656624744,,
Jarmo Virtamo,38,4048,27.0,0.001492298467461441,0.11202105878911962,,
Graham G Giles,43,3886,26.0,0.001664130201744999,0.1247440772155601,,
Struan F A Grant,39,2723,26.0,0.0022620916590958408,0.07158525884761625,,
Matthias Nauck,45,3080,26.0,0.0010593123598094912,0.14258555133079848,,
Christopher I Amos,52,3530,26.0,0.006161991613353778,0.10631763673588769,,
Angela Doring,34,4655,26.0,0.00028085536121060385,0.11743199766013454,,
Myriam Fornage,59,2097,26.0,0.0015748120921944809,0.14061128985083357,,
Zoltan Kutalik,56,5233,26.0,0.002783938431303469,0.15552793214390173,,
Demetrius Albanes,40,3164,26.0,0.0008547372498357892,0.0805791167007897,,
Michael N Weedon,36,9610,26.0,0.0003402788405031529,0.10880374378473237,,
Leif Groop,37,7445,26.0,0.0007149672596953854,0.10390465048259726,,
Jacques S Beckmann,30,6892,26.0,0.0018623456156877018,0.11275226674466218,,
Meredith Yeager,40,3635,26.0,0.0009060765432800616,0.07078093009651945,,
Aaron R Folsom,38,3664,26.0,0.00028097396731017863,0.09023106171395144,,
Iris M Heid,34,7352,26.0,0.00037957430798392524,0.12291605732670371,,
Ilja M Nolte,41,3330,26.0,0.0008188976227423896,0.14836209417958468,,
Daniel Levy,44,3452,26.0,0.00026015461946937355,0.08430827727405674,,
Murielle Bochud,38,5384,26.0,0.0005027366546625318,0.1306668616554548,,
Aimo Ruokonen,26,6669,26.0,0.00018985794791379147,0.09300965194501316,,
Hilma Holm,27,4393,26.0,0.0004230813677611186,0.10119918104708979,,
Nicholas L Smith,41,3791,26.0,0.00023956317765579284,0.10675636150921322,,
W H Linda Kao,34,3798,26.0,0.0003183204915022275,0.10207663059374086,,
Per Hall,39,6187,26.0,0.0024816679541226497,0.15764843521497512,,
Barbara McKnight,41,4490,26.0,0.00039765868082068917,0.12401286926001755,,
Lynda M Rose,41,4245,26.0,0.0007973587103939128,0.16145071658379642,,
Dawn M Waterworth,30,6253,26.0,0.0004493109215727976,0.08913424978063761,,
Peter K Gregersen,34,4460,26.0,0.0014273584434297253,0.034366773910500144,,
Torben Hansen,39,6364,26.0,0.0012646375274163988,0.1341766598420591,,
Jeffrey R O'Connell,44,5800,26.0,0.0010387450006963408,0.13008189529102077,,
Kenneth Rice,30,3559,25.0,0.00033116505821705793,0.09213220239836209,,
Emelia J Benjamin,37,2565,25.0,0.0001273800177668168,0.04833284586136297,,
Richard S Houlston,43,3314,25.0,0.0008413612866660517,0.04964902018133957,,
Jenny Chang-Claude,48,3272,25.0,0.0009848062798060782,0.10770693185141854,,
Anna Kottgen,37,3805,25.0,0.0003111006917311044,0.07750804328751097,,
Qiong Yang,42,2534,25.0,0.0001717970904526673,0.07121965486984498,,
James B Meigs,29,4440,25.0,0.00012543909212329345,0.09045042410061421,,
Matthew A Brown,36,3511,25.0,0.0024632934539057104,0.08218777420298333,,
Sven Cichon,40,4258,25.0,0.0032585731986363568,0.10390465048259726,,
Uwe Volker,50,3756,25.0,0.0005611837736094492,0.14170810178414742,,
Elisabeth Widen,40,3803,25.0,0.0007725594339126034,0.1311787072243346,,
Qiuyin Cai,41,2690,25.0,0.0017042839852888557,0.11282538754021644,,
Peter M Visscher,34,5980,25.0,0.0011367299313965826,0.11662766890903772,,
Hreinn Stefansson,34,5092,25.0,0.0017058112069758494,0.08087159988300673,,
G Bragi Walters,25,6080,25.0,0.00023413751238019292,0.0759725065808716,,
Guillaume Pare,30,5103,25.0,0.0002378983488331224,0.09593448376718339,,
Oluf Pedersen,36,6303,25.0,0.0011243375895581944,0.12510968119333138,,
Peter Kovacs,36,5817,25.0,0.00038343394934226417,0.13366481427317928,,
Sven Bergmann,40,6284,25.0,0.0010977629004446108,0.14134249780637614,,
Beverley Balkau,28,6528,25.0,0.00035712286167646984,0.12021058789119625,,
Robert Clarke,27,6177,25.0,0.0002276405689150955,0.12050307107341328,,
Kathryn L Lunetta,39,2779,24.0,0.002178730181625664,0.09045042410061421,,
Yu-Tang Gao,35,2240,24.0,0.0016180269278980672,0.10258847616262065,,
Anuj Goel,29,5346,24.0,0.00021088354539010784,0.1310324656332261,,
Ian J Deary,55,2283,24.0,0.0013979567981544678,0.1448522959929804,,
Martin G Larson,30,2872,24.0,0.00010118586019161752,0.05886224042117578,,
Jan Lubinski,30,2604,24.0,0.0006722987415848669,0.10178414741152383,,
Yukinori Okada,43,2585,24.0,0.0036482467286159917,0.10361216730038023,,
Brenda W Penninx,31,4093,24.0,0.0004723659401243508,0.1194793799356537,,
Daniel J Rader,26,5505,24.0,0.000500473955889624,0.09483767183386956,,
Christopher Newton-Cheh,37,4288,24.0,0.00037863035811292205,0.08079847908745247,,
Jorma Viikari,33,4349,24.0,0.00029831173109484997,0.13454226381983037,,
Nora Franceschini,46,1813,24.0,0.0006520850955186192,0.09842059081602808,,
Mark Seielstad,32,4692,24.0,0.002635413004664514,0.10390465048259726,,
Asa Johansson,36,6369,24.0,0.0006170602761084037,0.1303743784732378,,
Cristen J Willer,26,10269,24.0,0.00011896326597101002,0.10412401286926001,U.S.,University of Michigan
Simon N Stacey,30,3441,24.0,0.0002930733666830668,0.048259725065808716,,
Mark J Caulfield,27,7041,24.0,0.00031858708446527836,0.1188212927756654,,
Andrew Singleton,32,3401,24.0,0.0011327440972162175,0.10836501901140684,,
Elio Riboli,28,2832,23.0,0.0004924998056477203,0.07721556010529394,,
Philippe Amouyel,32,3408,23.0,0.0015279227696319098,0.11955250073120795,,
Man Li,34,4308,23.0,0.0002552939571358982,0.10368528809593448,,
Richard B Hayes,28,5811,23.0,0.0006166155803725138,0.07312079555425563,,
Laura J Scott,23,9078,23.0,0.00012861838459359785,0.09140099444281953,,
Jennie Hui,32,5978,23.0,0.000637128079904149,0.13688212927756654,,
Torben Jorgensen,26,6070,23.0,0.0008976409362047464,0.11202105878911962,,
Hongbing Shen,44,1429,23.0,0.0023268533037945015,0.06039777712781515,,
Eleftheria Zeggini,40,7460,23.0,0.0008326824989462247,0.1071219654869845,U.K,University of Leicester
Evelin Mihailov,32,3009,23.0,0.0005029219035560472,0.14572974553963147,,
Kristian Hveem,28,7350,23.0,0.0009848902932763897,0.13856390757531442,,
Philip L De Jager,38,3647,23.0,0.0038516393317780764,0.11011991810470897,,
Dan E Arking,39,3306,23.0,0.0013232602509822499,0.08584381398069611,,
Guillaume Lettre,25,6980,23.0,0.0002903077507097997,0.10609827434922492,,
Lina Zgaga,30,4010,23.0,0.00039373870349251053,0.09659257092717169,,
Valeriya Lyssenko,26,6849,23.0,0.0003764599847529984,0.10229599298040362,,
John R Thompson,24,6446,23.0,0.00020343361024514385,0.09403334308277274,,
Ida Surakka,29,5771,23.0,0.00018311588376360003,0.10931558935361217,,
M Arfan Ikram,41,3476,23.0,0.0009368155864230757,0.10704884469143024,,
Anjali K Henders,32,1905,23.0,0.0005399523862935512,0.06617431997660135,,
Ann-Christine Syvanen,26,5271,23.0,0.0018950883561987056,0.12532904357999414,,
Stavroula Kanoni,28,4571,23.0,0.0002527830607516278,0.13666276689090376,,
Christian Dina,25,5204,23.0,0.0007580127680205568,0.08920737057619187,,
Liming Liang,33,4606,23.0,0.003719225849068362,0.1188212927756654,,
Joanne M Murabito,34,1919,23.0,0.00025117602424769563,0.0954226381983036,,
Claes Ohlsson,39,4492,23.0,0.00036009103365980275,0.11509213220239836,,
Patrik K E Magnusson,36,5132,23.0,0.0011688089583676352,0.1318367943843229,,
John P Kemp,41,1516,22.0,0.0004916636724115816,0.08664814273179292,,
Bertram Muller-Myhsok,41,2701,22.0,0.002213734455899364,0.1071219654869845,,
John M Starr,40,1911,22.0,0.0008851823142376343,0.12386662766890903,,
David Ellinghaus,29,4028,22.0,0.0010948302648605618,0.08299210295408013,,
Beate St Pourcain,41,1475,22.0,0.000507808863203675,0.10924246855805791,,
Gianluca Severi,27,2985,22.0,0.0006215606106340534,0.09483767183386956,,
Antti Jula,31,4642,22.0,0.0003807089410738526,0.12291605732670371,,
H Erich Wichmann,24,3053,22.0,0.0007024931122870196,0.08240713658964609,,
Jong-Young Lee,34,3984,22.0,0.0025175709044761058,0.12203860778005264,,
Themistocles L Assimes,27,6184,22.0,0.00034111511474642565,0.1183094472067856,,
Josef Coresh,35,3131,22.0,0.0001442492559468025,0.0753144194208833,,
Charles Kooperberg,41,2744,22.0,0.0017219200700328374,0.13030125767768352,,
Asgeir Sigurdsson,26,3196,22.0,9.680871998468747e-05,0.028005264697279906,,
Zhibin Hu,39,1294,22.0,0.0016445719743292562,0.05301257677683533,,
G Mark Lathrop,22,5307,22.0,0.0011840548360762156,0.0934483767183387,,
Fumihiko Matsuda,40,2054,22.0,0.0020701456616022285,0.04299502778590231,,
Sudha Seshadri,33,2924,22.0,0.0005776143417507483,0.09257092717168762,,
Jirong Long,34,2257,22.0,0.001157616399288775,0.09776250365603978,,
Douglas P Kiel,34,1973,22.0,0.0001673250837575531,0.0713658964609535,,
Keitaro Matsuo,33,1773,22.0,0.002174001306761756,0.08116408306522375,,
Mads Melbye,37,1983,22.0,0.0027379682609032867,0.11165545481134835,,
Tin Aung,45,1895,22.0,0.00154755261566845,0.09571512138052062,,
Narisu Narisu,23,8422,22.0,8.582490503631031e-05,0.10880374378473237,,
Lars Lind,43,4317,22.0,0.0006064567824580127,0.14770400701959638,,
Amy J Swift,23,7829,22.0,9.099569218088042e-05,0.1077800526469728,,
Jose C Florez,27,5167,22.0,0.0004528763950490695,0.090962269669494,,
Andrew B Singleton,33,3592,22.0,0.0018364165078069486,0.08825680023398655,,
Jonathan P Bradfield,30,2465,22.0,0.0015622921753239137,0.06902603100321732,,
Inke R Konig,24,5746,22.0,0.00028938535089322005,0.09140099444281953,,
Gail Davies,39,1631,22.0,0.0006930706212343937,0.12174612459783563,,
P Eline Slagboom,43,2406,22.0,0.0007867372223224488,0.12489031880666862,,
Christopher G Mathew,26,6080,22.0,0.00077619621363531,0.05805791167007897,,
Naoya Hosono,25,1331,21.0,8.332478378805298e-05,0.011479964902018134,,
Paolo Vineis,26,3055,21.0,0.0012814193357629084,0.08708686750511846,,
James Scott,22,3760,21.0,0.0001805426033035321,0.09564200058496636,,
Kurt Lohman,29,1586,21.0,0.0002839622975326011,0.11516525299795262,,
Peter Lichtner,27,3082,21.0,0.0017795081798411556,0.12701082187774201,,
Jose I Mayordomo,26,3424,21.0,0.00016301295644137153,0.03743784732377888,,
Xiuqing Guo,49,3334,21.0,0.0015355625817815267,0.14529102076630593,,
