,PUBMEDID,N,In Charge,DATASETS,Consortia,NOTES
10,29531354,1766126,Pilar,"Australian Stroke Genetics Collaborative (ASGC); Bio-Repository of DNA in Stroke (BRAINS); Genetics of Early Onset Stroke (GEOS); Heart Protection Study (HPS); Ischemic Stroke Genetics Study (ISGS); Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS); Vitamin Intervention for Stroke Prevention (VISP); Women’s Health Initiative Hormone Trial HT (WHI-HT); BASe de datos de ICtus del hospital del MAR (BASICMAR); Greater Cincinnati/Northern Kentucky Stroke Study (GCNKSS); Medical University of Graz (GRAZ); Krakow stroke genetics study (KRAKOW); Lund Stroke Register (LSR); Middlesex County Ischemic Stroke Study (MCISS); Miami Stroke Registry and Biorepository (MIAMISR); Nurses Health Study (NHS); Northern Manhattan Study (NOMAS); Secondary Prevention of Small Subcortical Strokes (SPS3); Washington University St. Louis Study (WUSTL); Attention-deficit Hyperactivity Disorder (ADHD); Health, Aging, and Body Composition Study (Health ABC); Hispanic Community Health Study (HCHS); Health and Retirement Study (HRS); INfancia y Medio Ambiente Project (INMA); Monitoring of Trends and Determinants in Cardiovascular Disease (MONICA); Leuven Stroke Genetics Study (LSGS); Osteoarthritis Initiative (OAI); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); FINRISK (FINRISK); Health, Aging, and Body Composition Study (Health ABC); Rotterdam Study (RS); Study of Health in Pomerania (SHIP); Womens Genome Health Study (WGHS); Multi-Ethnic Study of Atherosclerosis (MESA); PROspective Study of Pravastatin in the Elderly at Risk (PROSPER); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); Siblings With Ischemic Stroke Study (SWISS); Three City Study (3C); European Prospective Investigation into Cancer (EPIC); Asian Indian Diabetic Heart Study (AIDHS); VHIR-FMT-Barcelona (VHIR-FMT-Barcelona); BioBank Japan Project (BBJ); Cervical Artery Dissection and Ischemic Stroke Patients (CADISP); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS); INTERSTROKE (INTERSTROKE); Ischemic Stroke Genetics Study (ISGS); Sea Islands Genetics Network (SIGNET); Reasons for Geographic and Racial Differences in Stroke (REGARDS); Siblings with Ischemic Stroke Study (SWISS); Womens Health Initiative (WHI); deCODE Genetics (deCODE); Glasgow Stroke Sample (GSS); Helsinki 2000 Ischemic Stroke Genetics Study (HEL2000); Hisayama-FSR study (HFSR); Heart and Vascular Health Atrial Fibrillation Study (HVH); Malmo Diet and Cancer Study (MDC); Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE ); Sahlgrenska Academy Study on Ischemic Stroke (SAHLSIS); Stroke In Young Fabry Patients (SIFAP); South London Ethnicity and Stroke Study (SLESS); Stockholm-Tartu Atherosclerosis Reverse Network Engineering Task (STARNET); Genetics of Cerebral Hemorrhage with Anticoagulation (GOCHA); Genetic and Environmental Risk Factors for Hemorrhagic Stroke (GERFHS); Sikh Diabetes Study (SDS); Study of Latinos (SOL)",,
11,29212778,1641783,Pilar,UK Biobank (UKB); Coronary ARtery DIsease Genome-wide Replication And Meta-analysis (CARDIoGRAM),,
12,26390057,1601255,Xuejie,"AASC (AASC); Cardio-metabolic Genome Epidemiology Study - Amagasaki (CAGE-Amagasaki); Cardio-metabolic Genome Epidemiology Study (CAGE); CAGE-KING_Quad (CAGE-KING); CAGE-KING_Quad (CAGE-KING); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt); Korean Association Resource Project (KARE); Nutrition and Health of Aging Population in China (NHAPC); Singapore Chinese Eyes Study (SCES); Singapore Malay Eye Study (SIMES); Singapore Prospective Study Program (SP2); SRS (SRS); Taiwan Super Control Study (TWSC); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Vanderbilt Genome-Wide Association Studies (Vanderbilt); Shanghai-Vanderbilt Colorectal Cancer Genetic Project (SVCRCGP); Asian Consortium, Colorectal Cancer Shanghai-1 (Shanghai-1); Shanghai Mens Health Study (SMHS); Shanghai Womens Health Study (SWHS); Estonian Genome Center of the University of Tartu (EGCUT); Estonian Genome Center of the University of Tartu (EGCUT); GeneBank (GeneBank); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Ragama Health Study (RHS); Singapore Indian Eye Study (SINDI); Asian Consortium, Colorectal Cancer Shanghai-2 (Shanghai-2); PANSCAN (PANSCAN)",,
13,27622933,1591074,Xuejie,23andMe (23andMe),,
14,26708676,1545568,Xuejie,"Australian Stroke Genetics Collaborative (ASGC); BASe de datos de ICtus del hospital del MAR (BASICMAR); Bio-Repository of DNA in Stroke (BRAINS); Edinburgh Stroke Study (ESS); Greater Cincinnati/Northern Kentucky Stroke Study (GCNKSS); Genetics of Early Onset Stroke (GEOS); Austrian Stroke Prevention Study (ASPS); Ischemic Stroke Genetics Study (ISGS); Krakow stroke genetics study (KRAKOW); Leuven Stroke Genetics Study (LSGS); Lund Stroke Register (LSR); Malmo Diet and Cancer Study (MDC); Middlesex County Ischemic Stroke Study (MCISS); Miami Stroke Registry and Biorepository (MIAMISR); Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS); MUNICH stroke study (MUNICH); Nurses Health Study (NHS); Northern Manhattan Study (NOMAS); Oxford Vascular Study (OXVASC); Reasons for Geographic and Racial Differences in Stroke (REGARDS); Sahlgrenska Academy Study on Ischemic Stroke (SAHLSIS); Secondary Prevention of Small Subcortical Strokes (SPS3); St. Georges Hospital (STGEORGE); Siblings with Ischemic Stroke Study (SWISS); Vitamin Intervention for Stroke Prevention (VISP); Womens Health Initiative (WHI); Washington University St. Louis Study (WUSTL); Attention-deficit Hyperactivity Disorder (ADHD); Australian Stroke Genetics Collaborative (ASGC); Health, Aging, and Body Composition Study (Health ABC); Hispanic Community Health Study (HCHS); Health and Retirement Study (HRS); INfancia y Medio Ambiente Project (INMA); Cooperative Health Research in the Region of Augsburg (KORA); Osteoarthritis Initiative (OAI); British 1958 Birth Cohort Study (B58C); Cervical Artery Dissection and Ischemic Stroke Patients (CADISP); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Cardiovascular Health Study (CHS); Framingham Heart Study (FHS); FINRISK (FINRISK); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Study of Health in Pomerania (SHIP); Womens Genome Health Study (WGHS); Multi-Ethnic Study of Atherosclerosis (MESA); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); Three City Study (3C); deCODE Genetics (deCODE); Glasgow, Scotland ImmunoChip Study Samples (GSICSS); Heart and Vascular Health Atrial Fibrillation Study (HVH); Heart Protection Study (HPS); INTERSTROKE (INTERSTROKE); Milano Besta Institute Stroke Study (MILANO); Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE); Reasons for Geographic and Racial Differences in Stroke (REGARDS); The Sea Islands Genetic African American Registry (Project SuGAR); COBRE for Oral Health Study (COBRE); The Systemic Lupus Erythematosus in Gullah Health study (SLEIGH); Stroke In Young Fabry Patients (SIFAP); Utrecht, The Netherlands ImmunoChip Study Samples (UNISS); VHIR-FMT-Barcelona (VHIR-FMT-Barcelona); Womens Health Initiative (WHI); Study of Latinos (SOL); The Pakistan Risk Of Myocardial Infarction Study (PROMIS)",NINDS-SiGN,
15,27618448,1455714,Charlie,Heart and Aging Research in Genomic Epidemiology (CHARGE),,These are consortium
16,27618447,1381814,Charlie,CHD (CHD) ; ExomeBP ; GoT2D/T2D-GENES ; Heart and Aging Research in Genomic Epidemiology (CHARGE),,These are consortium
17,29364747,1378267,Pilar,Icelandic Discovery Samp,,
18,27089181,1365573,Xuejie,Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Avon Longitudinal Study of Parents and Children (ALSPAC); Estonian Genome Center of the University of Tartu (EGCUT); Estonian Genome Center of the University of Tartu (EGCUT); Heinz Nixdorf Recall Study (HNR); Heinz Nixdorf Recall Study (HNR); Health and Retirement Study (HRS); Netherlands Twin Registry (NTR); Religious Orders Study and Rush Memory and Aging Project (ROSMAP); Twins Early Development Study (TEDS); Tracking Adolescents Individual Lives Survey (TRAILS); Cardiovascular Risk in Young Finns Study (YFS); British 1958 Birth Cohort Study (B58C); British 1958 Birth Cohort Study (B58C); The Berlin Aging Study II (BASE-II); Health Professional Follow-up Study (HPFS); Health Professional Follow-up Study (HPFS); Health Professional Follow-up Study (HPFS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Nurses Health Study (NHS); Nurses Health Study (NHS); Nurses Health Study (NHS); Nurses Health Study (NHS); Austrian Stroke Prevention Study (ASPS); AtheroExpress (AEGS1); Baltimore Longitudinal Study of Ageing (BLSA); Cohorte Lausannoise (CoLaus); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Split Study (CROATIA-SPLIT); CROATIA-Vis Island Study (CROATIA-VIS); deCODE Genetics (deCODE); Dortmund Health Study (DHS); Finnish Twin Cohort 2014 (FTC2014); Finnish Twin Cohort Study (FTC); Erasmus Rucphen Family Study (ERF); Helsinki Birth Cohort Study (HBCS); Hunter Community Study (HCS); LifeLines (LifeLines); Minnesota Center for Twin and Family Research (MCTFR); Multi-Ethnic Study of Atherosclerosis (MESA); The Netherlands Epidemiology of Obesity Study (NEO); Queensland Institute of Medical Research (QIMR); Queensland Institute of Medical Research 2 (QIMR2); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); Swedish Twin Registry 1 (STR1); Swedish Twin Registry 2 (STR2); UK Adult Twin Register (TwinsUK); UK Biobank (UKB); Northern Finnish Birth Cohort Study 1966 (NFBC1966); 23andMe (23andMe); Atherosclerosis Risk in Communities Study (ARIC); The English Longitudinal Study of Ageing (ELSA); Genetics of Overweight Young Adults (GOYA); Lothian Birth Cohort Studies 1921 (LBC1921); Lothian Birth Cohort Studies 1936 (LBC1936),SSGAC,
19,25673412,1341594,Xuejie,"British 1958 Birth Cohort Study (B58C); Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); The older order AMISH population studies (AMISH); Busselton Health Study (BHS); Baltimore Longitudinal Study of Ageing (BLSA); British Genetics of Hypertension study (BRIGHT); Cardiovascular Health Study (CHS); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cohorte Lausannoise (CoLaus); FINRISK (FINRISK); CROATIA-Vis Island Study (CROATIA-VIS); deCODE Genetics (deCODE); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI); Diabetes Genetics (DIAGEN); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); DPS (DPS); Drs Extra (Drs Extra); Genetics of diabetes Audit and Research (GODARTS); Estonian Genome Center of the University of Tartu (EGCUT); Ely Study (Ely); EMIL (EMIL); European Prospective Investigation into Cancer (EPIC); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); FBPP (FBPP); Fenland study (Fenland); FIN-D2D (FIN-D2D); Finnish Twin Cohort Study (FTC); Framingham Heart Study (FHS); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); GEFOS (GEFOS); GENIE (GENIE); GENNET (GENNET); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Gene By Environment (GXE); Health 2000 Study (Health 2000); Helsinki Birth Cohort Study (HBCS); Health, Aging, and Body Composition Study (Health ABC); Health, Risk Factors, Training and Genetics Family Study (HERITAGE); Heinz Nixdorf Recall Study (HNR); Nord-Tr�ndelag Health Study (HUNT); Hypertension Genetic Epidemiology Network (HYPERGEN); IMPROVE (IMPROVE); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); Leipzig Adults (Leipzig Adults); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); Leiden Longevity Study (LLS); Metabolic Syndrome In Men (METSIM); Micro-isolates in South Tyrol Study (MICROS); MOnica Risk, Genetics, Archiving and Monograph (MORGAM); PRIME (PRIME); UK Adult Twin Register (TwinsUK); Netherlands Study of Depression and Anxiety (NESDA); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS); MRC National Survey of Health and Development (NSHD); Netherlands Twin Registry (NTR); Orkney Complex Disease Study (ORCADES); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Precocious Coronary Artery Disease Study (PROCARDIS); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Quebec Family Study (QFS); Relationship between Insulin Sensitivity and Cardiovascular disease (RISC); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); SCARFSHEEP (SCARFSHEEP); Study of Health in Pomerania - LEGEND (SHIP-LEGEND); Study of Health in Pomerania (SHIP); Sorbs population (SORBS); SPT (SPT); Swedish Twin Registry (STR); Tandem (Tandem); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); Tracking Adolescents Individual Lives Survey (TRAILS); The Tromso Study (Tromso); TwinGene Study (TwinGene); Uppsala Longitudinal Study of Adult Men (ULSAM); Womens Genome Health Study (WGHS); Womens Health Initiative (WHI); Whitehall Study (Whitehall); Wellcome Trust Case Control Consortium (WTCCC); Cardiovascular Risk in Young Finns Study (YFS); Miscellaneous (Miscellaneous)",GIANT,
20,29777097,1251557,,,,
21,29899525,1170532,,,,
22,28334899,1160655,Xuejie,NO NAME,,NO ACCESS
23,26785701,1145799,Xuejie,Vanderbilt Genome-Wide Association Studies (Vanderbilt); Japanese Millenium Genome Project (JMGP); CAGE-KING_Quad (CAGE-KING); Kyushu University Fukuoka Cohort Study (CAGE-Fukuoka),Asian Genetic Epidemiology Network (AGEN),
