In Charge,PUBMEDID,DATASETS,Consortia,NOTES
Xuejie,28212542,23andMe (23andMe); MD Anderson Cancer Center Study (MDACCS); NO NAME,,
Xuejie,28195142,Icelandic Cancer Registry (ICR); deCODE Genetics (deCODE); NO NAME,,
Xuejie,28223688,NO NAME,,
Xuejie,28537254,PsA (PsA); Collaborative Association Study of Psoriasis (CASP); Kiel PopGen biobank study (KIEL); Genizon BioSciences (Genizon); British 1958 Birth Cohort Study (B58C); Immunochip (Immunochip); Exomechip (Exomechip); 23andMe (23andMe),,
Xuejie,27539887,Health Professional Follow-up Study (HPFS); Nurses Health Study (NHS); 23andMe (23andMe); Icelandic Cancer Registry (ICR),,
Xuejie,27424798,23andMe (23andMe); Icelandic Cancer Registry (ICR); Nurses Health Study (NHS); Health Professional Follow-up Study (HPFS),,
Xuejie,26272126,deCODE Genetics (deCODE); Icelandic Cancer Registry (ICR); The Icelandic Genealogical Database (IGD),,
Xuejie,25855136,Icelandic Cancer Registry (ICR); deCODE Genetics (deCODE); NO NAME,,
Xuejie,26908601,23andMe (23andMe); NO NAME,,
Xuejie,26482879,"23andMe (23andMe); Avon Longitudinal Study of Parents and Children (ALSPAC); British 1958 Birth Cohort Study (B58C); British 1958 Birth Cohort Study (B58C); Children, Allergy, Milieu, Stockholm, Epidemiology (BAMSE); Childrens Hospital of Philadelphia (CHOP); Copenhagen Study on Asthma in Childhood 2000 birth cohort (COPSAC-2000); Danish National Birth Cohort (DNBC); Genes- Environments & Admixture in Latino Americans study (GALA II); Generation R Study Group (Generation R); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Genetic Studies in Nuclear Families with Atopic Dermatitis (GENUFAD); German Infant Study on the influence of Nutrition Intervention (GINI); INfancia y Medio Ambiente Project (INMA); MASS (MASS); Sydney Memory and Ageing Study (MAS); Norwegian Mother and Child Cohort study (MOBA); NCRC (NCRC); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Netherlands Twin Registry (NTR); RIKEN (RIKEN); Swiss Study on Air Pollution and Lung Diseases in Adults (SAPALDIA); The Study of Asthma Phenotypes and Pharmacogenomic Interactions by Race-Ethnicity (SAPPHIRE); AMU (AMU); CAG (CAG); Childhood Asthma Management Program (CAMP); Copenhagen Study on Asthma in Childhood 2010 birth cohort (COPSAC-2010); European Community Respiratory Health Survey (ECRHS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Prevention and Incidence of Asthma and Mite Allergy birth cohort study (PIAMA); Western Australian Pregnancy Cohort Study (RAINE); Study of Addiction: Genetics and Environment II (SAGE II); UK Adult Twin Register (TwinsUK); CECCS (CECCS); GENEVA Dental Caries Study (GENEVA-DCS); Health2006 Study (Health2006); loW (loW); NCCGP (NCCGP); Southampton Womens Survey (SWS); Lifestyle Immune System Allergy study (LISA); Heinz Nixdorf Recall Study (HNR); CSGA (CSGA); SARP (SARP); The Population Genetic Cohort (POPGEN)",Australian Asthma Genetics Consortium (AAGC),
Xuejie,25282103,"AIDS Clinical Trials Group (ACTG); AtheroExpress (AEGS1); Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT); Baltimore Longitudinal Study of Ageing (BLSA); B-vitamins for the prevention of osteoporotic fractures (B-PROOF); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Danish National Birth Cohort (DNBC); Estonian Genome Center of the University of Tartu (EGCUT); Estonian Genome Center of the University of Tartu (EGCUT); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); Health, Aging, and Body Composition Study (Health ABC); Health, Risk Factors, Training and Genetics Family Study (HERITAGE); Hypertension Genetic Epidemiology Network (HYPERGEN); The Invecchiare in Chianti (InCHIANTI); Mount Sinai BioMe BioBank (Mount Sinai); LifeLines (LifeLines); Leiden Longevity Study (LLS); London Life Sciences Population Study (LOLIPOP); Dutch and Belgian Lung Cancer Screening Trial (NELSON); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Precocious Coronary Artery Disease Study (PROCARDIS); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Quebec Family Study (QFS); Queensland Institute of Medical Research (QIMR); Relationship between Insulin Sensitivity and Cardiovascular disease (RISC); Study of Health in Pomerania Trend (SHIP-TREND); Tracking Adolescents Individual Lives Survey (TRAILS); TwinGene Study (TwinGene)",GIANT,
Xuejie,27363682,UK MRC Myeloma-IX (UK MRC Myeloma-IX); UK MRC Myeloma-XI (UK MRC Myeloma-XI); British 1958 Birth Cohort Study (B58C); German Multiple Myeloma Study Group (GMMG),,
Xuejie,25673413,NO NAME,82 with GWAS RESULTS,140+ cohort in supplement 2 
Xuejie,26785701,Vanderbilt Genome-Wide Association Studies (Vanderbilt); Japanese Millenium Genome Project (JMGP); CAGE-KING_Quad (CAGE-KING); Kyushu University Fukuoka Cohort Study (CAGE-Fukuoka),Asian Genetic Epidemiology Network (AGEN),
Xuejie,28319091,NO NAME; Malmo Diet and Cancer Study (MDC); Prospective Epidemiological Risk Factor study (PERF); DemGene Project (DemGene); Nijmegen Biomedical Study (NBS); arcOGEN (arcOGEN); Tehran Cardiometabolic Genetic Study (TCGS); Osteoporotic Fractures in Men Study (MrOS); MS OS (MS OS); Osteoporosis Clinic of Asan Medical Center (AMC-PAS),,
Xuejie,26235824,Prospective Epidemiological Risk Factor study (PERF); Dubbo Osteoporosis Epidemiology Study (DOES),,
Xuejie,26098866,deCODE Genetics (deCODE); The Icelandic Genealogical Database (IGD),,
Xuejie,28537267,Queensland Institute of Medical Research (QIMR); deCODE Genetics (deCODE); Leuven (Leuven); Oxford Biobank (OBB); 23andMe (23andMe); Nurses Health Study (NHS); Womens Genome Health Study (WGHS); iPSYCH (iPSYCH); BioBank Japan Project (BBJ); Adachi (Adachi),,
Xuejie,23563607,"Busselton Health Study (BHS); Hypertension Genetic Epidemiology Network (HYPERGEN); LifeLines (LifeLines); Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Queensland Institute of Medical Research (QIMR); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Tracking Adolescents Individual Lives Survey (TRAILS); TwinGene Study (TwinGene)",GIANT,
Xuejie,27622933,23andMe (23andMe),,
Xuejie,28135244,UK Biobank (UKB); 1000 Genomes (1000 Genomes); LifeLines (LifeLines); Generation Scotland: Scottish Family Health Study (GS:SFHS); Generation Scotland: Scottish Family Health Study (GS:SFHS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT); British Genetics of Hypertension study (BRIGHT); Airwave Health Monitoring Study (Airwave),European exome consortium; CHARGE,
Xuejie,28334899,NO NAME,,NO ACCESS
Xuejie,25231870,Womens Genome Health Study (WGHS); deCODE Genetics (deCODE); Atherosclerosis Risk in Communities Study (ARIC); Framingham Heart Study (FHS); Queensland Institute of Medical Research (QIMR); Rotterdam Study I (RS-I); Nurses Health Study (NHS); Cohorte Lausannoise (CoLaus); Northern Finnish Birth Cohort Study 1966 (NFBC1966); UK Adult Twin Register (TwinsUK); SardiNIA Study of Aging (SardiNIA); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Danish National Birth Cohort (DNBC); Indiana University premenopausal Caucasian women peak BMD study (Indiana); Study of Addiction: Genetics and Environment (SAGE); European Prospective Investigation into Cancer (EPIC); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Erasmus Rucphen Family Study (ERF); Netherlands Twin Registry (NTR); Helsinki Birth Cohort Study (HBCS); The Invecchiare in Chianti (InCHIANTI); The older order AMISH population studies (AMISH); Health 2000 Study (Health 2000); Avon Longitudinal Study of Parents and Children (ALSPAC); LifeLines (LifeLines); TwinGene Study (TwinGene); Estonian Genome Center of the University of Tartu (EGCUT); British 1958 Birth Cohort Study (B58C); Genetics of Overweight Young Adults (GOYA); Nurses Health Study (NHS); Estonian Genome Center of the University of Tartu (EGCUT); Nurses Health Study (NHS); Cooperative Health Research in the Region of Augsburg F3 (KORA F3); Cooperative Health Research in the Region of Augsburg F4 (KORA F4); Cancer Hormone Replacement Epidemiology in Sweden (CAHRES); Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG); Tracking Adolescents Individual Lives Survey (TRAILS); Western Australian Pregnancy Cohort Study (RAINE); Study of Health in Pomerania (SHIP); Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino); IUBC (IUBC),Reprogen Consortium; Breast Cancer Association Consortium,
Xuejie,27863252,INTERVAL (INTERVAL); UK Biobank (UKB); UK BiLEVE Cohort Information (UKBiLEVE),,
Xuejie,28443625,"AtheroExpress (AEGS1); Aging Gene-Environment Susceptibility - Reykjavik Study (AGES); Atherosclerosis Risk in Communities Study (ARIC); Australian Twin-Family Studies (AUSTWIN); Busselton Health Study (BHS); Mount Sinai BioMe BioBank (Mount Sinai); Baltimore Longitudinal Study of Ageing (BLSA); British 1958 Birth Cohort Study (B58C); Cardiovascular Health Study (CHS); Cebu Longitudinal Health and Nutrition Survey (CLHNS); Cohorte Lausannoise (CoLaus); CROATIA-Korcula Study (CROATIA-KORCULA); CROATIA-Vis Island Study (CROATIA-VIS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Estonian Genome Center of the University of Tartu (EGCUT); European Prospective Investigation into Cancer (EPIC); Erasmus Rucphen Family Study (ERF); Family Heart Study (FamHS); Framingham Heart Study (FHS); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION); GENDIAN (GENDIAN); Generation Scotland: Scottish Family Health Study (GS:SFHS); Genetic Epidemiology Network of Arteriopathy (GENOA); Gothenburg Osteoporosis and Obesity Determinants study (GOOD); Genetics of Overweight Young Adults (GOYA); Health, Risk Factors, Training and Genetics Family Study (HERITAGE); Health and Retirement Study (HRS); Hypertension Genetic Epidemiology Network (HYPERGEN); The Invecchiare in Chianti (InCHIANTI); Cooperative Health Research in the Region of Augsburg (KORA); LifeLines (LifeLines); London Life Sciences Population Study (LOLIPOP); Ludwigshafen Risk and Cardiovascular Health (LURIC); Multi-Ethnic Study of Atherosclerosis (MESA); Osteoporotic Fractures in Men Study (MrOS); Netherlands Twin Registry (NTR); Northern Finnish Birth Cohort Study 1966 (NFBC1966); Nurses Health Study (NHS); Orkney Complex Disease Study (ORCADES); Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS); Prevention of Renal and Vascular Endstage Disease study (PREVEND); Prospective Study of Pravastatin in the Elderly at Risk (PROSPER); Quebec Family Study (QFS); Rotterdam Study I (RS-I); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); SardiNIA Study of Aging (SardiNIA); Study of Health in Pomerania (SHIP); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA); UK Adult Twin Register (TwinsUK); Womens Genome Health Study (WGHS); Cardiovascular Risk in Young Finns Study (YFS); Epidemiological Study on the Insulin Resistance syndrome study (DESIR); Drs Extra (Drs Extra); Estonian Genome Center of the University of Tartu (EGCUT); Ely Study (Ely); European Prospective Investigation into Cancer (EPIC); Fenland study (Fenland); Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics II (FUSION Stage 2); Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER); Gene By Environment (GXE); Health2006 Study (Health2006); Nord-Tr�ndelag Health Study (HUNT); Nord-Tr�ndelag Health Study (HUNT); Inter99 Study (Inter99); Cooperative Health Research in the Region of Augsburg S4 (KORA S4); Cooperative Health Research in the Region of Augsburg S3 (KORA S3); Multiethnic Cohort Study of Diet and Health (MEC); Metabolic Syndrome In Men (METSIM); MRC National Survey of Health and Development (NSHD); SCARFSHEEP (SCARFSHEEP); SPT (SPT); Womens Health Initiative (WHI); Whitehall Study (Whitehall); UK Biobank (UKB)",GIANT,
Xuejie,27286809,Estonian Genome Center of the University of Tartu (EGCUT); The Invecchiare in Chianti (InCHIANTI); Rotterdam Study II (RS-II); Rotterdam Study III (RS-III); Fehrmann (Fehrmann); Heart and Vascular Health Atrial Fibrillation Study (HVH); Study of Health in Pomerania (SHIP); Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM); LifeLines (LifeLines); Rotterdam Study (RS),,
Xuejie,26818947,"BioBank Japan Project (BBJ); NO NAME; Shanghai DIabetes Inpatient Database (SDIID); HK1 (HK1); HK2 (HK2); Shanghai Diabetes Genetic Study (SDGS); Singapore Chinese Eyes Study (SCES); Singapore Malay Eye Study (SIMES); sp1M (sp1M); sp610 (sp610); Korean Association Resource Project (KARE); Health2 T2D Study (H2T2DS); SNUH (SNUH); Danish Studies (Danish Studies); European descent in the Diabetes Genetics Replication And Meta-analysis 3 (DIAGRAM3); Singapore Indian Eye Study (SINDI); The Pakistan Risk Of Myocardial Infarction Study (PROMIS); Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE); Asian Indian Diabetic Heart Study (AIDHS); SIGMA (SIGMA); Shanghai Diabetes Study (SDS)",,
Xuejie,28540026,Autism Centre of Excellence (ACE); Autism Genome Project (AGP); Autism Genetic Resource Exchange (AGRE); National Institute of Mental Health (NIMH); Population-based Autism Genetics and Environment Study (PAGES); Simons Simplex Collection (SSC); Weiss Laboratory Autism Collection (WLAC); deCODE Genetics (deCODE); iPSYCH (iPSYCH); SEED (SEED); Montreal/Boston Collection (M-BC),,
Xuejie,26198764,Epidemiology genetic program AJ schizophrenia case-control samples (Epi Gen AJ SZ); Hebrew university geneomic resource AJ schizophrenia case-control sample (HUGR),PGC2,
