Cohorts,Count
Korean Association Resource Project (KARE),24
Hunter Community Study (HCS),24
Religious Orders Study and Rush Memory and Aging Project (ROSMAP),23
The Mayo Clinic study (MAYO),23
Cancer Prostate in Sweden (CAPS),22
British Genetics of Hypertension study (BRIGHT),22
Genetic STudy of Aspirin Responsiveness (GeneSTAR),22
Hypertension Genetic Epidemiology Network (HYPERGEN),22
Singapore Chinese Eyes Study (SCES),21
Health and Retirement Study (HRS),21
Metabolic Syndrome In Men (METSIM),21
Genetic Association Information Network (GAIN),20
Healthy Aging in Neighborhoods of Diversity across the Life Span Study (HANDLS),20
Uppsala Longitudinal Study of Adult Men (ULSAM),20
UK Biobank (UKB),20
Swedish Twin Registry (STR),20
Gothenburg Osteoporosis and Obesity Determinants study (GOOD),19
"Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC)",19
Generation R Study Group (Generation R),19
Myocardial Infarction Genetics Consortium (MIGen),19
Swiss Study on Air Pollution and Lung Diseases in Adults (SAPALDIA),18
Singapore Indian Eye Study (SINDI),18
National Cancer Institute Cancer Genetic Markers of Susceptibility (CGEMS),18
Italian Network on Genetic Isolates-Friuli-Venezia Giulia (INGI-FVG),18
Generation Scotland: Scottish Family Health Study (GS:SFHS),18
The Hellenic study of Interactions between SNPs & Eating in Atherosclerosis (HSIEA),18
Malmo Diet and Cancer Study (MDC),17
Vanderbilt Genome-Wide Association Studies (Vanderbilt),17
TwinGene Study (TwinGene),17
Colon Cancer Family Registry (CCFR),17
Three City Study (3C),17
Cleveland Family Study (CFS),17
"Atherosclerotic Disease, Vascular function, and Genetic Epidemiology (ADVANCE)",17
International Agency for Research on Cancer Study (IARC),17
Hispanic Community Health Study (HCHS),16
Brisbane Adolescent Twins Study (BATS),16
Inter99 Study (Inter99),16
Italian Network on Genetic Isolates-Carlantino (INGI-Carlantino),16
Australian Twin-Family Studies (AUSTWIN),16
Study of Latinos (SOL),15
Ely Study (Ely),15
SGENE (SGENE),15
Singapore and Sweden Breast Cancer Study (SASBAC),15
Vis Study (VIS),15
Gutenberg Health Study II (GHS-II),14
Heart and Vascular Health Atrial Fibrillation Study (HVH),14
Osteoporotic Fractures in Men Study (MrOS),14
Italian Network on Genetic Isolates-Val Borbera (INGI-Val Borbera),14
Cebu Longitudinal Health and Nutrition Survey (CLHNS),14
Gutenberg Health Study I (GHS-I),14
Molecular Genetics of Schizophrenia Collaboration (MGS),13
The Pakistan Risk Of Myocardial Infarction Study (PROMIS),13
Nashville Breast Health Study (NBHS),13
Study of Addiction: Genetics and Environment (SAGE),13
Nord-Trndelag Health Study (HUNT),13
Genetics of Early Onset Stroke (GEOS),13
Prevention and Incidence of Asthma and Mite Allergy birth cohort study (PIAMA),13
Copenhagen Study on Asthma in Childhood (COPSAC),13
MD Anderson Cancer Center Study (MDACCS),12
GlaxoSmithKline (GSK),12
RIKEN (RIKEN),12
Diabetes Control and Complication Trial (DCCT),12
Whitehall Study (Whitehall),12
PennCATH (PennCATH),12
Genetics of diabetes Audit and Research (GODARTS),12
Australian Ovarian Cancer Study (AOCS),12
ESTHER Breast Cancer Study (ESTHER),12
Korean Genome Epidemiology Study (KoGES),12
Darmkrebs: Chancen der Verhétung durch Screening (DACHS),11
Genetic Epidemiology of Metabolic Syndrome study (GEMS),11
Danish National Birth Cohort (DNBC),11
Shanghai Breast Cancer Study (SBCS),11
UK Stage (UK),11
Physicians Health Study (PHS),11
Sydney Memory and Ageing Study (MAS),11
Minnesota Center for Twin and Family Research (MCTFR),11
Genetics of Overweight Young Adults (GOYA),11
Shanghai Womens Health Study (SWHS),11
Gene Environment Interaction and Breast Cancer in Germany (GENICA),11
Thematically Organized Psychoses Research Study (TOP),11
Lifestyle Immune System Allergy study (LISA),11
Ogliastra Genetic Park-Talana Study (OGP-Talana),11
Tracking Adolescents Individual Lives Survey (TRAILS),11
Leiden Longevity Study (LLS),11
UK Medical Research Council (MRC),10
British Womens Heart & Health Study (BWHHS),10
medSTARCARDIAC catheterization study (MedSTAR),10
Genes Affecting Stroke Risk and Outcome Study (MGH-GASROS),10
Nutrition and Health of Aging Population in China (NHAPC),10
Genetic Epidemiology Network of Salt-Sensitivity Study (GenSalt),10
Carolina Breast Cancer Study (CBCS),10
Womens Circle of Health Study (WCHS),10
Utah Chronic Lymphocytic Leukemia Study (UTAH),10
NBHS/Southern Community Cohort (SCCS),10
Prospective Epidemiological Risk Factor study (PERF),10
Mammary Carcinoma Risk Factor Investigation (MARIE),10
Supplementation en Vitamines et Mineraux Antioxydants (SUVIMAX),10
International Schizophrenia Consortium Sweden (ISC-Sweden),10
European Prospective Investigation into Cancer and Nutrition _ Obesity study cohort (EPIC-Obesity),10
Health2000 GenMets Study (GenMets),10
Heart Protection Study (HPS),10
Mayo Clinic Breast Cancer Study (MCBCS),10
Marseille Thrombosis Association (MARTHA),10
Ontario Registry for Studies of Familial Colorectal Cancer (OFCCR),10
Italian Network on Genetic Isolates-Cliento (INGI-Cilento),10
Australian Breast Cancer Family Study (ABCFS),10
Cardio-metabolic Genome Epidemiology Study (CAGE),10
European Community Respiratory Health Survey (ECRHS),10
Twins Eye Study in Tasmania (TEST),9
COROGENE: International Studies of Infarct Survival (COROGENE),9
Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study (CARE),9
Helsinki Breast Cancer Study (HEBCS),9
Translational Genomics Research Institute (TGEN),9
Alzheimers Disease Neuroimaging Initiative (ADNI),9
Type 1 Diabetes Genetics Consortium (T1DGC),9
Korean Cancer Prevention Study (KCPS),9
Hong Kong Study (HKS),9
Australian & New Zealand Registry of Advanced Glaucoma (ANZRAG),9
Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION Stage),9
VITamins And Lifestyle Cohort Study (VITAL),9
"Asian Consortium, Colorectal Cancer Guangzhou (Guangzhou)",9
"BioVU, the Vanderbilt DNA Databank project (BioVu)",9
INfancia y Medio Ambiente Project (INMA),9
Gutenberg Health Study (GHS),9
Polish Breast Cancer Study (PBCS),9
Ottawa Heart Genomics Study (OHGS),9
Norwegian Mother and Child Cohort study (MOBA),9
Exeter Family Study of Childhood Health (EFSOCH),9
MRC National Survey of Health and Development (NSHD),9
"Diet, Activity, and Lifestyle Study (DALS)",9
Dortmund Health Study (DHS),9
Ischemic Stroke Genetics Study (ISGS),8
European Special Population Network consortium (EUROSPAN),8
Howard University Family Study (HUFS),8
Australian Stroke Genetics Collaborative (ASGC),8
Genetic Lung Cancer Predisposition Study (GELCAPS),8
Systematic Treatment Enhancement Program for Bipolar Disorder (STEP),8
Epidemiological study of Genetics and Environment of Asthma (EGEA),8
Milano Besta Institute Stroke Study (MILANO),8
Prostate testing for cancer and Treatment study (ProtecT),8
Singapore Diabetes Cohort Study (SDCS),8
Beijing Eye Study (BES),8
Shanghai Diabetes Study (SDS),8
Copenhagen General Population Study (CGPS),8
CPCS (CPCS),8
Dongfeng-Tongji cohort study (DFTJ),8
Relationship between Insulin Sensitivity and Cardiovascular disease (RISC),8
Radboud University Nijmegen Medical Centre (RUNMC),8
Bavarian Breast Cancer Cases and Controls (BBCC),8
Framingham Eye Study (FES),8
National Institute of Mental Health (NIMH),8
UK Genetic Prostate Cancer Study (UKGPCS),8
Korean-National Cancer Center Study (Korea-NCC),8
Torino Bladder Cancer Study (TBCS),8
British Breast Cancer Study (BBCS),8
Wake Forest University Breast Cancer Study (WFBC),8
Hertfordshire Cohort Study (HerCS),8
Nurses Health Studies II (NHS2),8
Study of Osteoporotic Fractures (SOF),8
Center of Excellence-Baden-Wuerttemberg Type 2 Diabetes Cohort (ULM),8
Ogliastra Genetic Park (OGP),7
Kuopio Breast Cancer Project (KBCP),7
Northern Manhattan Study (NOMAS),7
Northern California Breast Cancer Family Registry (NC-BCFR),7
Genetic Epidemiology Research in Adult Health and Aging (GERA),7
Gene-Lifestyle interactions And Complex traits Involved in Elevated disease Risk Study (GLACIER),7
Health Examinee Shared Control Study (HEXA),7
"Fred Hutchinson Cancer Research Center, Seattle US (FHCRC)",7
Kiel PopGen biobank study (KIEL),7
EPIGEN (EPIGEN),7
Diabetes Genetics (DIAGEN),7
Maywood Cohort (Maywood),7
Moffitt Cancer Center Ovarian Cancer Study (MOF),7
Monitoring of Trends and Determinants in Cardiovascular Disease (MONICA),7
NIDDK (NIDDK),7
Copenhagen City Heart Study (CCHS),7
Nanjing Study (NJ Study),7
National Cancer Institute (NCI),7
National Study of Colorectal Cancer Genetics (NSCCG),7
Chronic Obstructive Pulmonary Disease Gene Study (COPDGene),7
New England Bladder Cancer Study (NEBCS),7
Nijmegen Bladder Cancer Study (NBCS),7
"Children, Allergy, Milieu, Stockholm, Epidemiology (BAMSE)",7
Cancer Hormone Replacement Epidemiology in Sweden (CAHRES),7
Genetics OsteoArthritis and Progression (GARP),7
Tampere University Hospital (TAMPERE),7
Womens Health Initiative SNP Health Association Resource (WHI-SHARe),7
University of Southern California (USC),7
San Francisco Bay Area Breast Cancer Study (SFBCS),7
Bio-Repository of DNA in Stroke (BRAINS),7
Sheffield Breast Cancer Study (SBCS_b),7
Salzburg Atherosclerosis Prevention Program in subjects at High Individual Risk (SAPHIR),7
PHArmacogenetic study of Statin in the Elderly at risk (PHASE),7
UK Type 2 Diabetes Genetics Consortium (UK2 GCC),7
Tasmanian Study of Cognition and Gait (TASCOG),7
Oxford Biobank (OBB),7
The Tromso Study (Tromso),7
SCARFSHEEP (SCARFSHEEP),7
"Botnia Prevalence, Prediction and Prevention of Diabetes study (BPPP)",7
Rotterdam Breast Cancer Study (RBCS),7
Alzheimer Disease Center (ADC),7
Age-Related Eye Disease Study (AREDS),7
Osteoporotic Fractures in Men Study SWE (MrOS-SWE),7
RADIANT (RADIANT),6
Meta-Analyses of Glucose and Insulin-related Traits Consortium (MAGIC),6
Guangxi Fangchenggang Area Male Health and Examination Survey (FAMHES),6
Nigerian Breast Cancer Study (NigBCS),6
University of Tokyo (Tokyo),6
Chingford study (Chingford),6
Massachusetts General Hospital Atrial Fibrillation Study (MGH),6
Mayo Clinic Ovarian Cancer Study (MOCS),6
Hapmap (Hapmap),6
Religious Orders Study (ROS),6
Reasons for Geographic and Racial Differences in Stroke (REGARDS),6
D2D2007 (D2D2007),6
Bogalusa Heart Study (BHS_b),6
Health2006 Study (Health2006),6
The Netherlands Epidemiology of Obesity Study (NEO),6
Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT),6
Quebec Family Study (QFS),6
Iceland AAA GWAS dataset (IBCS),6
Munich Morphometry Sample (MPIP),6
Collaborative Association Study of Psoriasis (CASP),6
National Eye Institute Glaucoma Human Genetics Collaboration (NEIGHBOR),6
UK Ovarian Cancer Population Study (UKOPS),6
SPT (SPT),6
Karolinska Breast Cancer Study (KARBAC),6
Seoul Breast Cancer Study (SeBCS),6
German Infant Study on the influence of Nutrition Intervention (GINI),6
MDD2000 Study (MDD2000),6
Justification for the Use of Statins in Primary Prevention: An Intervention Trial Evaluating Rosuvastatin (JUPITER),6
Osteoporosis Clinic of Asan Medical Center (AMC-PAS),6
Japanese Millenium Genome Project (JMGP),6
Epidemiology of Diabetes Interventions and Complications (EDIC),6
Leeds Bladder Cancer Study (LBCS),6
Oncology Department of Zaragoza Hospital (ODZH),6
Cardiometabolic Risk in Chinese (CRC),6
Leuven Multidisciplinary Breast Centre (LMBC),6
Poland Ovarian Cancer Study (POCS),6
Dubbo Osteoporosis Epidemiology Study (DOES),6
Drs Extra (Drs Extra),6
PCMUS (PCMUS),6
Karolinska Mammography Project for Risk Prediction of Breast Cancer (pKARMA),6
Texas Bladder Cancer Study (TXBCS),6
Gene By Environment (GXE),6
Epilymph case-control study in six European countries (EpiLymph),5
Montreal/Boston Collection (M-BC),5
Mount Sinai BioMe BioBank (Mount Sinai),5
Malmo Diet and Cancer Study - Cardiovascular Cohort (MDC-CC),5
Amsterdam Breast Cancer Study (ABCS),5
TEENs of Attica: Genes and Environment (TEENAGE),5
Royal Marsden Hospital Trust/Institute of Cancer Research Family History and DNA Registry (RMHT),5
FINRISK97 (FINRISK97),5
SGENE plus (SGENE+),5
Australian National Endometrial Cancer Study (ANECS),5
Fox Chase Cancer Center (FCCC),5
Epidemiological Investigation of Rheumatoid Arthritis (EIRA),5
INTERHEART Study (ITH),5
Asian Indian Diabetic Heart Study (AIDHS),5
MT. SINAI BioMe Biobank Platform (IMP),5
St_dtisches Klinikum Karlsruhe Deutsches Krebsforschungszentrum Study (SKKDKFZS),5
TOMSK (TOMSK),5
Marshfield Clinic (Marshfield),5
Manchester Asthma and Allergy Study (MAAS),5
FBPP (FBPP),5
Scandinavian Lymphoma Etiology Study (SCALE),5
Shanghai Mens Health Study (SMHS),5
Medical Records and Genomics study (eMERGE),5
Association Study Evaluating Risk for Sporadic Colorectal Cancer (ASTERISK),5
The Berlin Aging Study (BASE),5
Memorial-Sloan Kettering Lymphoproliferative disorders Study (MSKCC),5
Siblings with Ischemic Stroke Study (SWISS),5
Los Angeles Study of Aggressive Prostate Cancer (LAAPC),5
Evaluation of COPD Longitudinally to Identify Predictive Surrogate End-points (ECLIPSE),5
Shanghai Endometrial Cancer Study (SECS),5
Singapore Cohort study Of the Risk factors for Myopia study (SCORM),5
Hospital-based Epidemiologic Research Program at Aichi Cancer Center (HERPACC),5
Lifestyle and Genetic determinants of Obesity and Metabolic syndrome study (DILGOM),5
IMAGEN (IMAGEN),5
Taiwan Biobank (Taiwan),5
Leiden University Medical Centre Breast Cancer Study (ORIGO),5
Twins Early Development Study (TEDS),5
Roswell Park Cancer Institute (RPCI),5
Hawaiian Colorectal Cancer Studies 2&3 (Hawaiian Colo2&3),5
National Study of Endometrial Cancer Genetics (NSECG),5
Prostate Cancer Case-Control Studies at MD Anderson (MDA),5
Hannover-Jena Ovarian Cancer Study (HJOCS),5
Prospective Study of Outcomes in Sporadic Versus Hereditary Breast Cancer Study (POSH),5
VICTOR (VICTOR),5
Germany (Germany),5
German Ovarian Cancer Study (GOCS),5
North American Rheumatoid Arthritis Consortium (NARAC),5
CHARGE (CHARGE),5
Postmenopausal Hormones Supplementary Study to the Colon Cancer Family Registry (PMH-CCFR),5
Verona Heart Study (VHS),5
Norwegian Cognitive NeuroGenetics Study (NCNG),5
Gene-Environment Interaction in Prostate Cancer Study (GECAP),5
Vitamin Intervention for Stroke Prevention (VISP),5
Genetics of Lipid Lowering Drugs and Diet Network study (GOLDN),5
Oulu Breast Cancer Study (OBCS),5
Ontario Familial Breast Cancer Registry (OFBCR),5
Caerphilly Prospective Study (CaePS),5
Calcium Intake Fracture Outcome Study (CAIFOS),5
arcOGEN (arcOGEN),5
Genetic Regulation of Arterial Pressure in Humans in the Community (GRAPHIC),5
Hawaii Ovarian Cancer Study (HOCS),5
CECILE Breast Cancer Study (CECILE),5
Colorectal Cancer Genetics Study (COGS),5
NYU-WHS (NYU-WHS),5
Brescia Bladder Cancer Study (BBCS_b),5
"National Cancer Institute- Surveillance, Epidemiology, and End Results Interdisciplinary Case-Control Study of Non-Hodgkins Lymphoma (NCI-SEER)",5
NSW non-Hodgkin lymphoma study  (NSW),5
Breast Cancer In Galway Genetic Study (BIGGS),5
Health2 Study (Health2),5
"Health, Risk Factors, Training and Genetics Family Study (HERITAGE)",5
Brigham and Womens Hospital (BWH),5
QUASAR2 (QUASAR2),5
Nagoya Study (Nagoya),5
Clinical Antipsychotic Trials of Intervention Effectiveness (CATIE),5
Hellenic Cooperative Oncology Group (Demokritos),5
UK Blood Services Donor Panel (UKBS),5
International Schizophrenia Consortium London (ISC-London),4
International Schizophrenia Consortium Edinburgh (ISC-Edinburgh),4
Taiwan Super Control Study (TWSC),4
University College London (UCL),4
International Schizophrenia Consortium Dublin (ISC-Dublin),4
Wisconsin Epidemiologic Study of Diabetic Retinopathy (WESDR),4
Genetics of Substance Dependence Yale Penn (Yale-Penn),4
European Prospective Osteoporosis Study (EPOS),4
Washington Heights-Inwood Columbia Aging Project (WHICAP),4
Wake Forest University School of Medicine Study (WFSM),4
UK Breakthrough Generations Study (UKBGS),4
Helsinki Ovarian Cancer Study (HeOCS),4
Genetic Association Information Network-MDD Study (GAIN-MDD),4
Italian Atherosclerosis Thrombosis and Vascular Biology (IATVB),4
Womens Cancer Research Institute - Cedars-Sinai Medical Center (WCRI),4
European descent in the Diabetes Genetics Replication And Meta-analysis (DIAGRAM),4
Australian Breast Cancer Tissue Bank (ABCTB),4
Yale (Yale),4
Zucker Hillside Hospital (ZHH),4
BC (BC),4
Genetics of Chronic Obstructive Lung Disease (GenKOLS),4
Japan Public Health Center Study (JPHC),4
Genetic Epidemiology of Ovarian Cancer (FROC&GEOCS),4
Environment and Genetics in Lung Cancer Etiology Study (EAGLE),4
Johnston County Osteoarthritis Project (JOCO),4
UCSF Family Alcoholism study (UCSF),4
Edinburgh Stroke Study (ESS),4
International Schizophrenia Consortium Aberdeen (ISC-Aberdeen),4
International Multiple Sclerosis Genetics Consortium US (IMSGC US),4
Tianjin Study (Tianjin),4
GenomEUtwin study (GenomEUtwin),4
The Study of Asthma Phenotypes and Pharmacogenomic Interactions by Race-Ethnicity (SAPPHIRE),4
FinGesture (FinGesture),4
GENDIAN (GENDIAN),4
Harvard Breast Cancer SPORE Blood Repository (DFCI),4
Hannover-Minsk Ovarian Cancer Study (HMOCS),4
"Asian Consortium, Colorectal Cancer Shanghai-1 (Shanghai-1)",4
The Icelandic Genealogical Database (IGD),4
IHCC-Szczecin Breast Cancer Study (SZBCS),4
Hormones and Ovarian Cancer Prediction Study (HOPE),4
GERAD (GERAD),4
University of Washington (WASHU),4
IMPROVE (IMPROVE),4
Asian Genetic Epidemiology Network (AGEN),4
Gilda Radner Familial Ovarian Cancer Registry (GRFOCR),4
INCIPE (INCIPE),4
UK Familial Ovarian Cancer Registry (UKFOCR),4
TheBetula Study (BETULA),4
ISAAC (ISAAC),4
Val Borbera (Val Borbera),4
"UC Irvine Ovarian Cancer Study, California (UCIOCS)",4
German Consortium for Hereditary Breast & Ovarian Cancer (GC-HBOC),4
Finnish Twin Study on Aging (FITSA),4
GenotypeÐPhenotype Associations in Alzheimers Disease (GENADA),4
Gene MSA NL (Gene MSA NL),4
Genomics Collaborative Initiative (GCI),4
Gene MSA US (Gene MSA US),4
International Multiple Sclerosis Genetics Consortium UK (IMSGC UK),4
Genome-wide scan for Parkinsons diseaseî Initiative (GenePD),4
AtheroExpress (AEGS1),4
Cambridge BioResource (CBR),4
Leipzig Childhood Obesity cohort (Leipzig),4
Chicago Health and Aging Project (CHAP),4
"Case-Control Study of Prostate Cancer among African Americans in Washington, DC (DCPC)",4
"Michigan, Mayo, Age-Related Eye Disease Study, Pennsylvania (MMAP)",4
Scottish Colorectal Cancer Study (SOCCS),4
Belgium Ovarian Cancer Study (BOCS),4
Massachussetts Eye and Ear Infirmary (MEEI),4
Segovia (Segovia),4
Cervical Artery Dissection and Ischemic Stroke Patients (CADISP),4
Diabetes Gene Discovery Group (DGDG),4
Shanghai Breast Cancer Survival Study (SBCSS),4
Northwestern Universitys Prostate Cancer Specialized Program of Research Excellence (SPORE),4
"MOnica Risk, Genetics, Archiving and Monograph (MORGAM)",4
Poland (Poland),4
Diseases of the Ovary and their Evaluation Study (DOVE),4
Bavarian Ovarian Cancer Cases and Controls (BOCC),4
People of the British Isles (PoBI),4
Lund Stroke Register (LSR),4
Saguenay Youth Study (SYS),4
STHM1 (STHM1),4
North Carolina Ovarian Cancer Study (NCOCS),4
Breakthrough Generations Study (BGS),4
British Columbia Non-Hodgkin Lymphoma Study (BCCA),4
National Emphysema Treatment Trial (NETT),4
Queensland study of Melanoma: Environment and Genetic Associations (Q-MEGA),4
Colorectal Tumour Gene Identification study (CoRGI),4
Breast Cancer Study of the University Clinic Heidelberg (BSUCH),4
Nagano Breast Cancer Study (NagBCS),4
"Risk Assessment of Cerebrovascular Events Study, Pakistan (RACE)",4
Molecular Epidemiology of non-Hodgkin lymphoma  (UCSF2),4
King County Prostate Cancer Studies (KCPCS),4
Coronary Artery Disease and genomics (CADomics),4
Munich Antidepressant Response Signature (MARS),4
Multicenter Italian study on gene-environment interactions in lymphoma etiology: translational aspects (Italian GxE),4
Black Womens Health Study (BWHS),4
Childhood Asthma Management Program (CAMP),4
Los Angeles County Case-Control Studies of Ovarian Cancer (LAC-CCOC),4
Shanghai Diabetes Genetic Study (SDGS),4
Longitudinal Aging Study Amsterdam (LASA),4
Leuven Stroke Genetics Study (LSGS),4
California Teachers Study (CTS),4
Oregon Ovarian Cancer Registry (OHSU),4
Kyoto University (Kyoto),4
Cantabria-Camargo (CABRIO-C),4
Long Life Family Study (LLFS),4
Southampton Womens Survey (SWS),4
Cardiff University (Cardiff UK),4
Cancer Genome Atlas (TCGA),4
Spanish Bladder Cancer Study (SpBCS),4
Older Australian Twins Study (OATS),4
Canadian Multicentre Osteoporosis Study (CAMOS),4
Leuven Endometrial Cancer Study (LES),4
Korean Hereditary Breast Cancer study (KOHBRA),4
Spanish National Cancer Centre Breast Cancer Study (CNIO-BCS),4
Southampton Ovarian Cancer Study (SOCS),4
EAS (EAS),4
EADI (EADI),4
Old Order Amish (OOA),4
Limburg Cancer Registry (LIKAR),4
BRHS (BRHS),4
Special Turku Coronary Risk Factor Intervention Project (STRIP),4
Nijmegen Polygene Study & Nijmegen Biomedical Study (POLYGENE),3
Pritzker Neuropsychiatric Disorders Research Consortium (NIMH/Pritzker),3
HaPCS (HaPCS),3
New Jersey Ovarian Cancer Study (NJOCS),3
HUBIN (HUBIN),3
HKOS (HKOS),3
Genetics and Epidemiology of Colorectal Cancer Consortium (GECCO),3
Greater Cincinnati/Northern Kentucky Stroke Study (GCNKSS),3
Osaka (Osaka),3
University of Munich (UM),3
Greek Health Randomized Aging Study (GHRAS),3
Project Viva (Viva),3
Newcastle Endometrial Cancer Study (NECS),3
Newfoundland Familial Colon Cancer Registry (NFCCR),3
Prince of Wales Hospital Diabetes Registry (PoWHDR),3
HK (HK),3
German Multiple Myeloma Study Group (GMMG),3
Prevention of Cardiovascular Events in Patients with Prior Heart Attack Using Ticagrelor Compared to Placebo on a Background of Aspirin (PEGASUS),3
Normative Aging Study (NAS),3
WASHS (WASHS),3
OSTEOS (OSTEOS),3
GenoMEL (GenoMEL),3
Vis Island Isolate Study (CROATIA),3
Physical Activity and Nutrition in Children Study (PANIC),3
Genizon BioSciences (Genizon),3
PAFIP (PAFIP),3
Population-based Autism Genetics and Environment Study (PAGES),3
New England-based Case-Control Study of Ovarian Cancer (NECC),3
Northwestern University (Northwestern),3
Washington University St. Louis Study (WUSTL),3
Postmenopausal Hormone study (PMH),3
Oxford Vascular Study (OXVASC),3
Ovarian Cancer in Alberta and British Columbia (OVAL-BC),3
Pravastatin Inflammation CRP Evaluation study (PRINCE),3
German Competence Network for Atrial Fibrillation (AFNET),3
Genetics of Kidneys in Diabetes Study (GoKinD),3
Genetics of Hypertension in Blacks (Nigeria),3
Omaha Osteoporosis Study (OOS),3
North Trondelag Health Study (HUNT2),3
Womens Health Study (WHS),3
Hannover-Jena Endometrial Cancer Study (HJECS),3
"Strabismus, Amblyopia and Refractive Error Study (STARS)",3
Hannover-Minsk Breast Cancer Study (HMBCS),3
Shanghai Genome-Wide Association Studies (SGWAS),3
Shanghai Institute of Hypertension GWAS (SIH),3
International Collaborative Study of Cardiovascular Disease in Asia (InterASIA),3
Luebeck Angiographic Study (Angio-Lueb),3
Singapore Chinese Health Study (SCHS),3
Los Angeles Bladder Cancer Study (LABCS),3
Taiwanese Breast Cancer Study (TWBCS),3
International Schizophrenia Consortium Cardiff (ISC-Cardiff),3
Taiwan Type 2 Diabetes Study (TDS),3
Sisters in Breast Screening (SIBS),3
International Schizophrenia Consortium Portugal (ISC-Portugal),3
Interphone (Interphone),3
TaiChi consortium (TaiChi),3
Osaka-Midosuji Rotary Club (O-MRC),3
Leiden University Medical Center (LUMC),3
South Stockholm Ischemic Stroke Study (SSISS),3
"Landspitali University Hospital, Reykjavik (LUHR)",3
