THEMATICALLY ORGANIZED PSYCHOSES 3 (TOP3),THEMATICALLY ORGANIZED PSYCHOSES RESEARCH STUDY (TOP)
THEMATICALLY ORGANIZED PSYCHOSES 7 (TOP7),THEMATICALLY ORGANIZED PSYCHOSES RESEARCH STUDY (TOP)
TRANSLATIONAL GENOMICS RESEARCH INSTITUTE 1 (TGEN1),TRANSLATIONAL GENOMICS RESEARCH INSTITUTE (TGEN)
TRANSLATIONAL GENOMICS RESEARCH INSTITUTE 2 (TGEN2),TRANSLATIONAL GENOMICS RESEARCH INSTITUTE (TGEN)
UFO-1 (UFO-1),UFO (UFO)
UFO-2 (UFO-2),UFO (UFO)
UK ADULT TWIN REGISTER 1 (TWINSUK1),UK ADULT TWIN REGISTER (TWINSUK)
UK ADULT TWIN REGISTER 2 (TWINSUK2),UK ADULT TWIN REGISTER (TWINSUK)
UK ADULT TWIN REGISTER 23 (TWINSUK23),UK ADULT TWIN REGISTER (TWINSUK)
UK ADULT TWIN REGISTER 3 (TWINSUK3),UK ADULT TWIN REGISTER (TWINSUK)
UK BLOOD SERVICES DONOR PANEL 1 (UKBS1),UK BLOOD SERVICES DONOR PANEL (UKBS)
UK BLOOD SERVICES DONOR PANEL 2 (UKBS2),UK BLOOD SERVICES DONOR PANEL (UKBS)
UK GENETIC PROSTATE CANCER STUDY 2 (UKGPCS2),UK GENETIC PROSTATE CANCER STUDY (UKGPCS)
UK GWAS STAGE 1 (UK1),UK STAGE (UK)
UK GWAS STAGE 2 (UK2),UK STAGE (UK)
UK-CLL1 (UK-CLL1),UK-CLL (UK-CLL)
UK-CLL2 (UK-CLL2),UK-CLL (UK-CLL)
WELLCOME TRUST CASE CONTROL CONSORTIUM 1 (WTCCC1),WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC)
WELLCOME TRUST CASE CONTROL CONSORTIUM 2 (WTCCC2),WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC)
WELLCOME TRUST CASE CONTROL CONSORTIUM 3 (WTCCC3),WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC)
WELLCOME TRUST CASE CONTROL CONSORTIUM CAD (WTCCC-CAD),WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC)
WELLCOME TRUST CASE CONTROL CONSORTIUM HT (WTCCC-HT),WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC)
WELLCOME TRUST CASE CONTROL CONSORTIUM MI STUDY (WTCCC-MI),WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC)
WELLCOME TRUST CASE CONTROL CONSORTIUM T2D (WTCCC-T2D),WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC)
WHITEHALL STUDY II (WHITEHALL-II),WHITEHALL STUDY (WHITEHALL)
AGING GENE-ENVIRONMENT SUSCEPTIBILITY - REYKJAVIK STUDY II (AGESII),AGING GENE-ENVIRONMENT SUSCEPTIBILITY - REYKJAVIK STUDY (AGES)
ACTS (ACTS),ACT (ACT)
"ASIAN CONSORTIUM, COLORECTAL CANCER AICHI 1 (AICHI-1)","ASIAN CONSORTIUM, COLORECTAL CANCER AICHI (AICHI)"
"ASIAN CONSORTIUM, COLORECTAL CANCER AICHI-2 (AICHI-2)","ASIAN CONSORTIUM, COLORECTAL CANCER AICHI (AICHI)"
"ASIAN CONSORTIUM, COLORECTAL CANCER GUANGZHOU (GUANGZHOU)","ASIAN CONSORTIUM, COLORECTAL CANCER AICHI (AICHI)"
"ASIAN CONSORTIUM, COLORECTAL CANCER SHANGHAI-1 (SHANGHAI-1)","ASIAN CONSORTIUM, COLORECTAL CANCER AICHI (AICHI)"
"ASIAN CONSORTIUM, COLORECTAL CANCER SHANGHAI-2 (SHANGHAI-2)","ASIAN CONSORTIUM, COLORECTAL CANCER AICHI (AICHI)"
ATHEROREMO 1 (ATHEROREMO 1),ATHEROREMO (ATHEROREMO)
ATHEROREMO 2 (ATHEROREMO 2),ATHEROREMO (ATHEROREMO)
BREAST CANCER FAMILY REGISTRY CALIFORNIA (BCFR-NCA),BREAST CANCER FAMILY REGISTRY (BCFR)
BREAST CANCER FAMILY REGISTRY CANADA (BCFR-CA),BREAST CANCER FAMILY REGISTRY (BCFR)
"CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM / BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES (IPM)","CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM / BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES (IPM)"
"CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM / BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES I (IPM I)","CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM / BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES (IPM)"
CHINA OSTEOPOROSIS STUDY (CHOS),CHINA OSTEOPOROSIS STUDY (CHO)
CHINA OSTEOPOROSIS STUDY (COS),CHO
CLINICAL ANTIPSYCHOTIC TRIALS OF INTERVENTION EFFECTIVENESS (CATIE),CLINICAL ANTIPSYCHOTIC TRIALS OF INTERVENTION EFFECTIVENESS (CATIE)
CLINICAL ANTIPSYCHOTIC TRIALS OF INTERVENTION EFFECTIVENESS US (CATIE-US),CLINICAL ANTIPSYCHOTIC TRIALS OF INTERVENTION EFFECTIVENESS (CATIE)
COLON CANCER FAMILY REGISTRY SET II (CCFR-II),COLON CANCER FAMILY REGISTRY (CCFR)
COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG F3 (KORA F3),COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG (KORA)
COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG F3 500K (KORA F3 500K),COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG (KORA)
COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG F3 500K2 (KORA F3 500K2),COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG (KORA)
COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG F4 (KORA F4),COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG (KORA)
COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG S3 (KORA S3),COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG (KORA)
COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG S4 (KORA S4),COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG (KORA)
COPENHAGEN STUDY ON ASTHMA IN CHILDHOOD REGISTRY (COPSAC-REGISTRY),COPENHAGEN STUDY ON ASTHMA IN CHILDHOOD (COPSAC)
FINLAND-UNITED STATES INVESTIGATION OF NON-INSULIN-DEPENDENT DIABETES MELLITUS GENETICS (FUSION STAGE),FINLAND-UNITED STATES INVESTIGATION OF NON-INSULIN-DEPENDENT DIABETES MELLITUS GENETICS (FUSION)
CARDIO-METABOLIC GENOME EPIDEMIOLOGY STUDY - AMAGASAKI (CAGE-AMAGASAKI),CARDIO-METABOLIC GENOME EPIDEMIOLOGY STUDY (CAGE)
"CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM / BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES (IPM II)","CHARLES R BRONFMAN INSTITUTE FOR PERSONALIZED MEDICINE - IPM / BIOBANK GENOME WIDE ASSOCIATION STUDY OF CARDIOVASCULAR, RENAL AND METABOLIC PHENOTYPES (IPM)"
EUROPEAN PROSPECTIVE INVESTIGATION INTO CANCER AND NUTRITION _ OBESITY STUDY COHORT (EPIC-OBESITY),EUROPEAN PROSPECTIVE INVESTIGATION INTO CANCER (EPIC)
FINRISK97 (FINRISK97),FINRISK (FINRISK)
GENETIC ASSOCIATION INFORMATION NETWORK-MDD STUDY (GAIN-MDD),GENETIC ASSOCIATION INFORMATION NETWORK (GAIN)
GERMAN CONSORTIUM FOR HEREDITARY BREAST & OVARIAN CANCER (GC-HBOC*),GERMAN CONSORTIUM FOR HEREDITARY BREAST & OVARIAN CANCER (GC-HBOC)
GERMAN INFANT STUDY ON THE INFLUENCE OF NUTRITION INTERVENTION PLUS ENVIRONMENTAL AND GENETIC INFLUENCES ON ALLERGY DEVELOPMENT (GINIPLUS),GERMAN INFANT STUDY ON THE INFLUENCE OF NUTRITION INTERVENTION (GINI)
GIVE US A CLUE TO CANCER AND HEART DISEASE STUDY II (CLUEII),GIVE US A CLUE TO CANCER AND HEART DISEASE STUDY (CLUE)
GUTENBERG HEALTH STUDY I (GHS-I),GUTENBERG HEALTH STUDY (GHS)
GUTENBERG HEALTH STUDY II (GHS-II),GUTENBERG HEALTH STUDY (GHS)
LIFESTYLE-IMMUNE SYSTEM-ALLERGY PLUS ENVIRONMENT AND GENETICS STUDY (LISAPLUS),LIFESTYLE IMMUNE SYSTEM ALLERGY STUDY (LISA)
MALMO DIET AND CANCER STUDY - CARDIOVASCULAR COHORT (MDC-CC),MALMO DIET AND CANCER STUDY (MDC)
MOLECULAR GENETICS OF SCHIZOPHRENIA COLLABORATION (MGS-US),MOLECULAR GENETICS OF SCHIZOPHRENIA COLLABORATION (MGS)
NURSES HEALTH STUDIES II (NHS2),NURSES HEALTH STUDY (NHS)
"NURSES HEALTH STUDY, ADENOMA SET (NHS AD)",NURSES HEALTH STUDY (NHS)
OSTEOPOROTIC FRACTURES IN MEN STUDY SWE (MROS-SWE),OSTEOPOROTIC FRACTURES IN MEN STUDY (MROS)
OSTEOPOROTIC FRACTURES IN MEN STUDY USA (MROS-USA),OSTEOPOROTIC FRACTURES IN MEN STUDY (MROS)
PHYSICIANS HEALTH STUDY I (PHSI),PHYSICIANS HEALTH STUDY (PHS)
PHYSICIANS HEALTH STUDY II (PHSII),PHYSICIANS HEALTH STUDY (PHS)
"RISK ASSESSMENT OF CEREBROVASCULAR EVENTS STUDY, PAKISTAN (RACE )","RISK ASSESSMENT OF CEREBROVASCULAR EVENTS STUDY, PAKISTAN (RACE)"
ROTTERDAM STUDY II (RS-I),ROTTERDAM STUDY (RS)
SEA ISLANDS GENETICS NETWORK (SIGNET-REGARDS),SEA ISLANDS GENETICS NETWORK (SIGNET)
SEA ISLANDS GENETICS NETWORK (SIGNET-SEA ISLANDS),SEA ISLANDS GENETICS NETWORK (SIGNET)
SHANGHAI ENDOMETRIAL CANCER STUDY (SECGS),SHANGHAI ENDOMETRIAL CANCER STUDY (SECS)
SPANISH NATIONAL CANCER CENTRE BREAST CANCER STUDY (CNIO-BCS),SPANISH NATIONAL CANCER CENTRE (CNIO)
UNIVERSITY OF NOTH CAROLINA RECTAL CANCER STUDY (UNC-RECTAL),UNIVERSITY OF NORTH CAROLINA RECTAL CANCER STUDY (UNC-RECTAL)
SCOTTISH RANDOMISED TRIAL IN OVARIAN CANCER (SCOTROC),SCOTTISH RANDOMISED TRIAL IN OVARIAN CANCER (SRTOC)
